web-scraper-order,web-scraper-start-url,nama,komentar
"1583431904-6999","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Voucher 50k kok cmn dapat 30k dasar penipuan. Terus masa berlakunya ga nyampe tgl yg d tentukan. Mending pake GRAB promonya pasti no tipu-tipu!"
"1583431904-6909","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Tolong di perbaiki.Pesen makan dapet e driver jauh dri resto..biasanya kan banyak di deket restonya. Kalo ada yg cepat knapa di perlama"
"1583431904-7476","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Makin kesana makin ancurr,,,IT nya bego smua ya,,w order ga bisa2,pdahal akun w aman2 aja,pas minta pembaharuan langsung ga bisa order,,,akhir nya w pake ojoL sebelah,,"
"1583431904-3013","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Nufarie",""
"1583431904-6061","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Akun saya tidak bisa melakukan pesanan apapun,pindah nomor ttep sama"
"1583431904-6205","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Saya selaku caoustemer setia gojek merasa kecewa atas kenaikan harga ongkir pada tgl 24-25 desember,menurut saya sistem kayak gitu terlalu membebankan kita sebagai CS,mohon PT karya anak bangsa untuk memperbaiki sistem yg kmaren"
"1583431904-3991","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","olex ngapak",""
"1583431904-4020","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","gojek selon",""
"1583431904-1355","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","De Dhika",""
"1583431904-7374","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Kayak t*i mau ambil uang gapay sendiri aja susah di persulit sudah pakai ktp sendiri cm ada foto atas garis2 merah aja ngk bs.sama aja merampas hak org!111"
"1583431904-4096","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","kot4 susu",""
"1583431904-3714","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Re Mil",""
"1583431904-4009","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","harry akbar",""
"1583431904-4100","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","abdee bin abas",""
"1583431904-5641","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","go jek ini aplikasi mohon dibenerin kok daya ngorder go car langsung disaya di tuduh dgn driver bernama suhadar gitu ya kyk begitu pokoknya sya dituduh cancel dan saya terus dituduh dengan nada yg lumayan tinggi sya mohon driver itu di beri penindak lanjutan dari pihak go jek mohon sikap driver itu ...Ulasan Lengkap"
"1583431904-2783","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Indra Yakub",""
"1583431904-3219","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Prasetya Dewantara",""
"1583431904-6938","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Woii bilangin ama driver konsisten kalo kerja gerimis aja oada gak mau ngambil !!!!"
"1583431904-5646","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gw copot lah bintangnya, karena gak jelas gw udh daftar PlaYlater sampe sekarang belom di Terima gak ada jawaban di tolak apa engga? Sedangkan gw pake gojek tiap hari, bayar pake GopaY. Tar kalo PlaYlater gw udh aktip gw kasih bintang full dah.. Satu lagi gw gak pernah di kasih promo GO-RIDE, sedang...Ulasan Lengkap"
"1583431904-3968","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Vebdmortz Plays",""
"1583431904-2135","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","karunia lovina",""
"1583431904-6533","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Modal murah doang, driver suka main cancle seenak jidat. Udh tau musim ujan banyak driver yg gak bawa jas hujan juga. Lebih selektif lah milih driver. Kasih edukasi dlu baru dilepas di lapangan"
"1583431904-7543","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Knp ya kalo yg saya booking, drivenya jauh semua. Makanya saya kasih bintang 1. Kesel banget sumpah😡"
"1583431904-6729","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Gojeeek lagi kenapa yah? Kok ditinggal pak Nadiem jadi eror gini? Tempat makan engga keditek sama sekali yang dimall2 . Anehh ini ada apa dengan gojek?!"
"1583431904-7004","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Waktu saya habis kebuang menunggu driver tidak ada yg mau ambil order saya ,yaudah saya order grab 2 x order langsung diambil oleh driver nya ..godbye GOJEK"
"1583431904-4523","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","","Untuk pembuat sistem gojek saat ini.. anda sangat pintar.. dalam 1 jam kami di berikan 1 order.. dan target saya 30 ordeer. Sehari itu cuma 24 jam boss . Gmna bisa menyelesaikan target anda.."
"1583431904-2132","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Preman Rusuh",""
"1583431904-3119","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","nor laila",""
"1583431904-1070","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Riz Kynua",""
"1583431904-1708","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","irena wd",""
"1583431904-2241","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","agoenk travel",""
"1583431904-2629","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Hana prianty Hana",""
"1583431904-4094","https://play.google.com/store/apps/details?id=com.gojek.app&showAllReviews=true","Heri Setiawan",""
